,Date,Flow,Predicted,Psi
13570,2016-08-23,1.26,0.97296405,0.16507056002941234
13571,2016-08-24,1.29,0.830162,0.16699453127720976
13572,2016-08-25,1.49,0.89888495,0.19374946080417532
13573,2016-08-26,1.31,0.9342418,0.1686448462097745
13574,2016-08-27,1.26,1.0276052,0.16507056002941234
13575,2016-08-28,1.41,1.0336791,0.1806227348188415
13576,2016-08-29,1.29,1.118184,0.16699453127720976
13577,2016-08-30,1.25,1.1745062,0.1645865787317098
13578,2016-08-31,1.27,0.9270411,0.1656349763004883
13579,2016-09-01,1.32,0.9932802,0.16957298864371362
13580,2016-09-02,1.3,0.82146704,0.16778457173447947
13581,2016-09-03,2.46,1.0970961,0.4197575336394431
13582,2016-09-04,2.19,0.89033026,0.35652594981733043
13583,2016-09-05,1.75,0.67886996,0.24912411101555
13584,2016-09-06,1.3,0.50591403,0.16778457173447947
13585,2016-09-07,1.2,0.48497564,0.1634722411431232
13586,2016-09-08,1.15,0.5955611,0.1648176835846742
13587,2016-09-09,1.23,0.74388635,0.16387098611685091
13588,2016-09-10,1.51,0.96111065,0.19741411147957366
13589,2016-09-11,1.2,1.108499,0.1634722411431232
13590,2016-09-12,1.14,1.1853211,0.1654191630883588
13591,2016-09-13,1.19,2.32517,0.16353151102183483
13592,2016-09-14,1.13,2.0297437,0.1661400543237288
13593,2016-09-15,1.06,1.7117354,0.17487347214821425
13594,2016-09-16,1.29,1.7563761,0.16699453127720976
13595,2016-09-17,1.36,1.6136802,0.1739193041650282
13596,2016-09-18,1.31,1.3756831,0.1686448462097745
13597,2016-09-19,1.56,1.4389163,0.20712715758473477
13598,2016-09-20,1.43,1.4114059,0.18365073801993625
13599,2016-09-21,1.37,1.5612236,0.17515365527412963
13600,2016-09-22,1.34,1.6013892,0.17162375820512055
13601,2016-09-23,1.29,1.2093229,0.16699453127720976
13602,2016-09-24,2.25,1.001929,0.3709466387513074
13603,2016-09-25,2.32,1.1906645,0.3875263600637566
13604,2016-09-26,1.54,1.4895186,0.20315356019144626
13605,2016-09-27,1.44,1.3083478,0.18523208967690596
13606,2016-09-28,1.47,1.4073119,0.19022640251842493
13607,2016-09-29,2.06,1.5239297,0.32477866436697356
13608,2016-09-30,1.88,1.555183,0.2804428485174477
13609,2016-10-01,2.31,1.8921527,0.3851753785395615
13610,2016-10-02,2.12,1.6548313,0.33950051931740177
13611,2016-10-03,2.03,1.7423109,0.3173885577076607
13612,2016-10-04,2.01,1.7862216,0.31245552635822726
13613,2016-10-05,1.93,1.9048129,0.29272272164222246
13614,2016-10-06,1.85,1.894254,0.2731188420923599
13615,2016-10-07,1.78,1.9126431,0.25623676188704814
13616,2016-10-08,1.68,1.7763493,0.23293344363768786
13617,2016-10-09,1.58,1.5600469,0.2112078565397696
13618,2016-10-10,1.5,1.5372632,0.195564764180301
13619,2016-10-11,1.43,1.4314427,0.18365073801993625
13620,2016-10-12,1.36,1.3968903,0.1739193041650282
13621,2016-10-13,1.3,1.2793642,0.16778457173447947
13622,2016-10-14,1.27,1.3817956,0.1656349763004883
13623,2016-10-15,1.39,2.6705606,0.1777856176088235
13624,2016-10-16,1.38,3.0114932,0.1764430666923047
13625,2016-10-17,1.26,3.039677,0.16507056002941234
13626,2016-10-18,1.37,3.0587587,0.17515365527412963
13627,2016-10-19,1.26,2.68926,0.16507056002941234
13628,2016-10-20,1.41,2.2448087,0.1806227348188415
13629,2016-10-21,1.42,2.0306106,0.18211373468522618
13630,2016-10-22,1.39,1.9379822,0.1777856176088235
13631,2016-10-23,1.37,2.0135617,0.17515365527412963
13632,2016-10-24,1.43,4.982181,0.18365073801993625
13633,2016-10-25,1.39,4.730888,0.1777856176088235
13634,2016-10-26,1.34,4.1839848,0.17162375820512055
13635,2016-10-27,1.33,3.604603,0.17056670239348293
13636,2016-10-28,1.32,2.7598953,0.16957298864371362
13637,2016-10-29,1.3,2.3134146,0.16778457173447947
13638,2016-10-30,1.29,2.1015296,0.16699453127720976
13639,2016-10-31,1.25,1.9199246,0.1645865787317098
13640,2016-11-01,1.26,1.9488837,0.16507056002941234
13641,2016-11-02,1.25,1.9240152,0.1645865787317098
13642,2016-11-03,1.24,1.7616817,0.16418577797328415
13643,2016-11-04,1.23,1.7672263,0.16387098611685091
13644,2016-11-05,1.18,1.7776548,0.1636922609644168
13645,2016-11-06,1.16,1.5802127,0.1643318157721506
13646,2016-11-07,1.19,1.4520932,0.16353151102183483
13647,2016-11-08,1.32,2.483336,0.16957298864371362
13648,2016-11-09,1.73,3.413971,0.24443478733502044
13649,2016-11-10,1.94,4.3954344,0.2951860768906578
13650,2016-11-11,1.43,3.277584,0.18365073801993625
13651,2016-11-12,1.73,4.0729237,0.24443478733502044
13652,2016-11-13,1.38,3.6310887,0.1764430666923047
13653,2016-11-14,1.34,3.5000849,0.17162375820512055
13654,2016-11-15,1.45,3.269145,0.18685618303921425
13655,2016-11-16,1.97,3.9162016,0.3025843425481568
13656,2016-11-17,4.64,5.917253,0.7447428444224337
13657,2016-11-18,6.03,5.5260468,0.8386067874923542
13658,2016-11-19,18.6,7.6946077,0.989449449898732
13659,2016-11-20,35.4,13.535266,0.9987127099431544
13660,2016-11-21,48.6,24.80419,0.9996050995502601
13661,2016-11-22,25.3,21.60572,0.9959448831936676
13662,2016-11-23,15.5,17.557743,0.9821827049275836
13663,2016-11-24,10.6,14.649448,0.9520531465586279
13664,2016-11-25,8.09,11.63427,0.9108917172085718
13665,2016-11-26,6.49,8.808183,0.8597927487392094
13666,2016-11-27,5.37,7.4593544,0.8006636415125216
13667,2016-11-28,4.55,7.25675,0.7365646808091929
13668,2016-11-29,3.93,6.7674966,0.6705420576629799
13669,2016-11-30,3.44,5.74144,0.6038370144427219
13670,2016-12-01,3.06,5.0590606,0.5411562229227616
13671,2016-12-02,2.79,4.082081,0.49001777197896923
13672,2016-12-03,2.53,3.3100047,0.43535756044880525
13673,2016-12-04,2.3,2.4616623,0.3828183673968224
13674,2016-12-05,2.57,2.0284188,0.4441079597753169
13675,2016-12-06,2.49,1.886952,0.42648729118716855
13676,2016-12-07,2.35,2.1752672,0.394542147548236
13677,2016-12-08,2.38,2.3591833,0.4015002960788071
13678,2016-12-09,2.25,2.9377193,0.3709466387513074
13679,2016-12-10,4.0,5.808728,0.678935017193286
13680,2016-12-11,2.89,4.810192,0.5096239389834905
13681,2016-12-12,2.3,4.317659,0.3828183673968224
13682,2016-12-13,2.54,5.4758315,0.43755649171071886
13683,2016-12-14,2.34,5.6169662,0.3922098387731684
13684,2016-12-15,2.4,5.668625,0.4061059353078279
13685,2016-12-16,2.35,4.9748163,0.394542147548236
13686,2016-12-17,2.32,4.1695976,0.3875263600637566
13687,2016-12-18,2.32,3.6465125,0.3875263600637566
13688,2016-12-19,2.34,3.3175128,0.3922098387731684
13689,2016-12-20,2.36,3.1781828,0.39686804968024114
13690,2016-12-21,2.44,2.8461509,0.4152350744265396
13691,2016-12-22,2.26,2.5836332,0.37333216106178446
13692,2016-12-23,2.69,2.8277297,0.4696205561099104
13693,2016-12-24,2.43,3.355509,0.4129632249981454
13694,2016-12-25,2.71,4.0132823,0.47376320177644327
13695,2016-12-26,2.78,3.824941,0.48801364978944084
13696,2016-12-27,2.63,2.8035743,0.4570041814544554
13697,2016-12-28,2.68,2.6862679,0.46753742419961686
13698,2016-12-29,2.68,2.7574925,0.46753742419961686
13699,2016-12-30,2.63,2.5837913,0.4570041814544554
13700,2016-12-31,2.61,2.3875127,0.45273631590347374
13701,2017-01-01,3.8,2.534447,0.6542423458429582
13702,2017-01-02,3.11,2.3551073,0.5500073611438228
13703,2017-01-03,2.99,2.083784,0.5284438428307756
13704,2017-01-04,3.02,1.9477223,0.5339381539581814
13705,2017-01-05,2.95,2.0091915,0.5210095941335232
13706,2017-01-06,3.1,2.6287415,0.5482522718798317
13707,2017-01-07,3.11,2.2606363,0.5500073611438228
13708,2017-01-08,2.86,2.0493612,0.5038250274000795
13709,2017-01-09,3.73,2.605727,0.6450654756402758
13710,2017-01-10,3.12,2.725832,0.5517549211706828
13711,2017-01-11,2.98,3.3911414,0.5265969356772202
13712,2017-01-12,4.03,5.4427543,0.6824526694755249
13713,2017-01-13,3.57,6.756197,0.6229796652719664
13714,2017-01-14,3.65,6.4312553,0.6342199112551625
13715,2017-01-15,3.67,6.7282143,0.6369677670206568
13716,2017-01-16,3.62,5.65858,0.6300518094317609
13717,2017-01-17,3.5,4.6378055,0.6128098658449668
13718,2017-01-18,3.29,3.7907941,0.5803325770171475
13719,2017-01-19,3.06,3.2713633,0.5411562229227616
13720,2017-01-20,2.84,3.1968138,0.49991963763630765
13721,2017-01-21,2.65,2.9224796,0.46124093604059513
13722,2017-01-22,2.48,2.6951363,0.4242512992196418
13723,2017-01-23,2.3,2.5161908,0.3828183673968224
13724,2017-01-24,2.15,2.0760014,0.34682039146984023
13725,2017-01-25,2.03,1.6808418,0.3173885577076607
13726,2017-01-26,1.92,1.5380521,0.29026132172225627
13727,2017-01-27,2.02,2.1949565,0.31492249382049164
13728,2017-01-28,2.27,3.111199,0.3757122132668518
13729,2017-01-29,4.0,5.002809,0.678935017193286
13730,2017-01-30,3.62,4.8377404,0.6300518094317609
13731,2017-01-31,4.79,5.8859806,0.7576869157513493
13732,2017-02-01,6.11,5.8710775,0.8425664947763433
13733,2017-02-02,7.73,8.935497,0.9017679165108392
13734,2017-02-03,11.5,13.550715,0.9607703748206556
13735,2017-02-04,11.9,11.511423,0.964006153372978
13736,2017-02-05,9.96,9.258362,0.9443464335698614
13737,2017-02-06,9.07,8.839594,0.930857123161186
13738,2017-02-07,7.67,7.9614744,0.9001349925505229
13739,2017-02-08,6.64,6.539146,0.8659368169666559
13740,2017-02-09,6.05,5.2396955,0.8396083282119485
13741,2017-02-10,5.41,4.383027,0.8032623542856889
13742,2017-02-11,4.85,3.6349802,0.7626359375909335
13743,2017-02-12,4.34,3.3896499,0.7161891559720909
13744,2017-02-13,3.85,4.1085157,0.6606236922252463
13745,2017-02-14,3.43,4.1589155,0.6023181393389474
13746,2017-02-15,3.2,3.8061328,0.5654668868693616
13747,2017-02-16,2.9,3.3781295,0.5115411609155638
13748,2017-02-17,2.63,2.8811758,0.4570041814544554
13749,2017-02-18,2.44,2.7484698,0.4152350744265396
13750,2017-02-19,2.27,2.448279,0.3757122132668518
13751,2017-02-20,2.16,2.1748414,0.3492529498584047
13752,2017-02-21,2.57,2.3166742,0.4441079597753169
13753,2017-02-22,4.58,3.0228271,0.73932624063291
13754,2017-02-23,4.89,5.2852044,0.7658656440176472
13755,2017-02-24,4.41,4.0972342,0.72318982626368
13756,2017-02-25,5.06,4.205037,0.7789971449350803
13757,2017-02-26,5.53,4.707619,0.8108082724114898
13758,2017-02-27,5.83,4.787263,0.8281464311403763
13759,2017-02-28,6.51,5.196322,0.8606321183487642
13760,2017-03-01,6.52,4.198194,0.8610494347801988
13761,2017-03-02,6.36,3.6667998,0.8541791126584495
13762,2017-03-03,6.67,5.9632263,0.8671247512247757
13763,2017-03-04,6.23,5.6884522,0.8482801315114218
13764,2017-03-05,7.51,8.350006,0.8956106464022011
13765,2017-03-06,6.94,7.867457,0.8772425986476954
13766,2017-03-07,7.31,6.624137,0.8895865081149755
13767,2017-03-08,8.03,6.7887673,0.909447407810698
13768,2017-03-09,6.96,5.1458163,0.8779528984942739
13769,2017-03-10,6.47,4.097953,0.8589470155813491
13770,2017-03-11,5.92,3.7413282,0.8329557516134822
13771,2017-03-12,5.25,3.2397137,0.7926057268784563
13772,2017-03-13,4.62,2.8063848,0.742952909217528
13773,2017-03-14,4.13,2.3745408,0.6938451121110432
13774,2017-03-15,3.7,2.1874788,0.6410437691414421
13775,2017-03-16,3.36,2.2469554,0.5914953616606571
13776,2017-03-17,3.4,2.1485844,0.5977208700191052
13777,2017-03-18,3.62,1.8674294,0.6300518094317609
13778,2017-03-19,4.44,2.014294,0.7261250368863457
13779,2017-03-20,7.04,2.7989461,0.8807429480633282
13780,2017-03-21,7.95,3.3458483,0.907475598770207
13781,2017-03-22,9.45,4.7958484,0.9370681964487291
13782,2017-03-23,9.01,5.3669486,0.9298073153388674
13783,2017-03-24,7.77,5.1794457,0.9028379172260727
13784,2017-03-25,6.62,4.1154346,0.8651374377473278
